Date,Open,High,Low,Close,Adj Close,Volume
2009-03-30,6.14,6.14,5.58,5.65,4.5951580000000005,9141300
2009-03-31,5.75,6.0,5.7,5.81,4.725286,8344400
2009-04-01,5.73,5.98,5.62,5.92,4.814748000000001,5442400
2009-04-02,6.11,6.33,5.95,6.26,5.091271,12624600
2009-04-03,6.25,6.3,6.08,6.27,5.099404,7462500
2009-04-06,6.19,6.38,6.11,6.28,5.107538,6633000
2009-04-07,6.17,6.26,6.0,6.12,4.977409,6320100
2009-04-08,6.16,6.5,6.05,6.45,5.245799,9214000
2009-04-09,6.67,6.9,6.49,6.76,5.497923,10260600
2009-04-13,6.74,6.74,6.44,6.51,5.294597,6918900
2009-04-14,6.48,6.69,6.42,6.52,5.30273,7792600
2009-04-15,6.49,6.68,6.48,6.55,5.32713,5095000
2009-04-16,6.64,6.85,6.52,6.75,5.489789,9097400
2009-04-17,6.8,6.97,6.7,6.95,5.65245,8443300
2009-04-20,6.82,6.89,6.51,6.56,5.335262,11349600
2009-04-21,6.65,6.95,6.65,6.85,5.57112,8861500
2009-04-22,6.75,6.84,6.66,6.7,5.449126000000001,7911200
2009-04-23,6.66,6.83,6.66,6.69,5.440991,7213800
2009-04-24,6.79,6.99,6.7,6.92,5.628051,6566600
2009-04-27,6.8,6.92,6.51,6.55,5.32713,8696800
2009-04-28,6.52,6.7,6.33,6.58,5.351528,8040500
2009-04-29,6.63,6.8,6.57,6.77,5.506055,7842200
2009-04-30,6.86,7.26,6.8,7.07,5.750046,15795200
2009-05-01,7.09,7.75,7.02,7.73,6.286825,10006800
2009-05-04,7.68,8.24,7.68,8.11,6.595880999999999,15039400
2009-05-05,8.02,8.24,8.01,8.22,6.685344000000001,6910400
2009-05-06,8.29,8.5,8.19,8.23,6.693477000000001,6554400
2009-05-07,8.33,8.54,8.05,8.14,6.62028,8234700
2009-05-08,8.39,9.72,8.27,9.62,7.823964999999999,19658900
2009-05-11,9.48,9.5,9.01,9.02,7.335986999999999,9216300
2009-05-12,9.04,9.1,8.77,8.99,7.311586999999999,5116700
2009-05-13,8.84,8.91,8.34,8.37,6.807339999999999,7030600
2009-05-14,8.37,9.2,8.35,9.15,7.441714,11755100
2009-05-15,9.04,9.17,8.43,8.55,6.953735000000001,8035700
2009-05-18,8.67,9.07,8.66,9.02,7.335986999999999,9292700
2009-05-19,9.11,9.62,9.01,9.55,7.767035000000001,9497300
2009-05-20,9.46,9.75,8.81,8.86,7.205855000000001,13249500
2009-05-21,8.73,8.97,8.54,8.68,7.059464,5851100
2009-05-22,8.59,8.9,8.51,8.62,7.010664,6998100
2009-05-26,8.67,9.02,8.53,8.99,7.311586999999999,7677400
2009-05-27,9.01,9.25,8.84,8.87,7.213991,13844400
2009-05-28,8.99,9.59,8.91,9.51,7.734503999999999,10365100
2009-05-29,9.57,10.01,9.36,9.99,8.124888,11786800
2009-06-01,10.19,10.74,10.16,10.68,8.686065,11332200
2009-06-02,10.66,10.73,10.45,10.52,8.55594,7394400
2009-06-03,10.4,10.49,9.9,10.03,8.157419,7340700
2009-06-04,10.12,10.56,10.06,10.43,8.48274,8523700
2009-06-05,10.7,10.72,10.26,10.31,8.385146,7095100
2009-06-08,10.33,10.34,10.1,10.24,8.328213,5302400
2009-06-09,10.3,10.42,9.94,10.07,8.189952,6728900
2009-06-10,10.18,10.32,9.9,10.12,8.230618,6925000
2009-06-11,10.17,10.71,10.16,10.42,8.474608,7226000
2009-06-12,10.36,10.79,10.21,10.69,8.694203,7467700
2009-06-15,10.66,10.66,9.88,10.08,8.198088,7724700
2009-06-16,10.14,10.37,9.86,9.98,8.116756,5757400
2009-06-17,9.97,10.05,9.64,9.69,7.880897999999999,6401800
2009-06-18,9.68,9.93,9.55,9.61,7.815834,7570200
2009-06-19,9.7,10.05,9.69,9.75,7.929697999999999,6831800
2009-06-22,9.6,9.7,9.03,9.16,7.449847,8381500
2009-06-23,9.14,9.67,9.14,9.63,7.832099,9504500
2009-06-24,10.14,10.65,10.1,10.58,8.604738000000001,20811300
2009-06-25,10.54,11.16,10.37,11.12,9.043921000000001,13536000
2009-06-26,11.04,11.06,10.61,10.87,8.840592,9040900
2009-06-29,10.95,11.48,10.8,11.46,9.32044,9186500
2009-06-30,11.44,11.64,10.98,11.61,9.442437,13424900
2009-07-01,11.66,11.88,11.66,11.76,9.564432,10775700
2009-07-02,11.6,11.67,11.29,11.29,9.182182000000001,10417200
2009-07-06,11.21,11.36,10.93,11.12,9.043921000000001,11746300
2009-07-07,11.12,11.3,10.86,10.9,8.864993,11618100
2009-07-08,10.95,11.26,10.67,11.01,8.954455000000001,13049700
2009-07-09,11.06,11.3,10.8,11.16,9.076452,5294700
2009-07-10,11.04,11.21,10.84,11.18,9.092717,5462700
2009-07-13,11.19,11.49,10.87,11.46,9.32044,6540800
2009-07-14,11.46,11.72,11.3,11.59,9.426171,9162600
2009-07-15,11.69,12.15,11.63,12.11,9.849088,9448800
2009-07-16,12.01,12.16,11.69,12.09,9.832825,5473000
2009-07-17,12.06,12.21,11.82,11.93,9.702693,4734400
2009-07-20,12.07,12.35,11.98,12.31,10.011746,7823200
2009-07-21,12.42,12.49,12.06,12.25,9.962949,8858200
2009-07-22,12.15,12.28,11.98,12.05,9.800289999999999,6672000
2009-07-23,11.97,12.63,11.88,12.51,10.17441,7936900
2009-07-24,12.51,13.24,12.42,13.06,10.621727,9957100
2009-07-27,12.76,13.03,12.56,12.98,10.556662,7313400
2009-07-28,12.84,13.01,12.31,12.47,10.141877000000001,6727300
2009-07-29,12.39,12.46,12.06,12.21,9.930419,5502400
2009-07-30,12.36,12.96,12.36,12.84,10.442799,5916100
2009-07-31,12.76,12.95,12.65,12.79,10.402135000000001,4436900
2009-08-03,13.03,13.22,12.82,13.2,10.735586999999999,6366600
2009-08-04,13.12,13.39,13.0,13.14,10.68679,6852400
2009-08-05,13.18,13.28,12.93,13.09,10.646127,4287600
2009-08-06,13.07,13.24,12.84,13.14,10.68679,6504600
2009-08-07,13.96,14.19,13.43,13.88,11.288631,11750400
2009-08-10,13.83,14.1,13.52,13.98,11.369964,11061600
2009-08-11,13.84,13.91,13.41,13.43,10.922649,7822600
2009-08-12,13.34,14.01,13.34,13.88,11.288631,6899900
2009-08-13,13.98,14.05,13.67,13.92,11.321168,6979800
2009-08-14,13.88,14.03,13.59,13.79,11.215435000000001,4288700
2009-08-17,13.43,13.5,13.25,13.42,10.914515,6332000
2009-08-18,13.47,13.73,13.36,13.71,11.150373,4699300
2009-08-19,13.58,13.79,13.44,13.72,11.158503,7368900
2009-08-20,13.75,13.96,13.7,13.93,11.329299,3993200
2009-08-21,14.04,14.32,13.91,14.26,11.597688,5535100
2009-08-24,14.35,14.55,14.27,14.42,11.727817,7951300
2009-08-25,14.46,14.63,13.99,14.01,11.394361,6946900
2009-08-26,14.0,14.27,13.77,14.23,11.57329,7074900
2009-08-27,14.22,14.3,13.78,13.91,11.313031,5293800
2009-08-28,14.02,14.06,13.7,13.92,11.321168,5537600
2009-08-31,13.82,13.86,13.57,13.67,11.117839,4466900
2009-09-01,13.64,13.95,13.24,13.25,10.776254,6257400
2009-09-02,13.13,13.3,12.79,13.19,10.727453,7777200
2009-09-03,13.3,13.35,13.06,13.28,10.800652000000001,3990000
2009-09-04,13.31,13.5,13.23,13.5,10.979577,3802000
2009-09-08,13.64,13.86,13.51,13.79,11.215435000000001,4946400
2009-09-09,13.84,14.1,13.66,14.1,11.467558,4936400
2009-09-10,14.05,14.17,13.81,14.14,11.500093,4134200
2009-09-11,14.12,14.24,13.95,14.15,11.508225,4191800
2009-09-14,14.3,14.88,14.19,14.79,12.028739,11398600
2009-09-15,14.88,14.9,14.49,14.72,11.971808,7069500
2009-09-16,14.76,15.11,14.55,14.99,12.191399,8106600
2009-09-17,15.01,15.09,14.32,14.35,11.670886,5895300
2009-09-18,14.49,14.67,14.16,14.39,11.703417,6844700
2009-09-21,14.38,14.66,13.95,14.63,11.898610000000001,8243800
2009-09-22,14.73,15.19,14.58,15.18,12.345927,9489200
2009-09-23,15.07,15.34,14.9,14.92,12.134466,7580600
2009-09-24,14.95,15.11,14.43,14.6,11.874209,6930300
2009-09-25,14.51,14.59,14.25,14.32,11.646485,4574100
2009-09-28,14.34,15.0,14.34,14.9,12.118201,3734400
2009-09-29,14.97,15.32,14.86,15.24,12.394726,6611900
2009-09-30,15.37,15.37,14.66,14.82,12.053139,8354800
2009-10-01,14.77,14.83,13.83,13.83,11.247967,8785300
2009-10-02,13.69,13.94,13.41,13.78,11.207303,6396300
2009-10-05,13.87,14.71,13.8,14.7,11.955542999999999,7169000
2009-10-06,14.87,14.94,14.5,14.78,12.020603999999999,7383400
2009-10-07,14.76,14.89,14.6,14.83,12.061268,5640700
2009-10-08,14.89,15.0,14.73,14.83,12.061268,6799600
2009-10-09,14.83,14.97,14.78,14.81,12.045003999999999,4118600
2009-10-12,14.86,14.97,14.76,14.85,12.077538,3292200
2009-10-13,14.87,14.89,14.59,14.78,12.020603999999999,3963500
2009-10-14,14.9,15.03,14.7,15.0,12.199533,5683000
2009-10-15,15.02,15.05,14.72,14.97,12.175133,4403700
2009-10-16,14.8,14.95,14.53,14.78,12.020603999999999,6021500
2009-10-19,14.85,15.19,14.65,15.16,12.329659,4193600
2009-10-20,15.14,15.2,14.83,14.83,12.061268,6375200
2009-10-21,14.9,15.44,14.79,15.11,12.288993,5471000
2009-10-22,15.13,15.17,14.75,14.96,12.167000999999999,5905900
2009-10-23,15.0,15.02,14.13,14.22,11.565153,6748100
2009-10-26,14.36,14.64,13.76,13.83,11.247967,6555300
2009-10-27,13.81,13.98,13.38,13.74,11.17477,9310200
2009-10-28,13.7,13.72,12.78,12.81,10.418402,11483400
2009-10-29,12.98,13.55,12.95,13.54,11.01211,8741700
2009-10-30,13.49,13.57,12.95,13.07,10.629859,11762300
2009-11-02,13.06,13.61,12.95,13.21,10.743722,7753400
2009-11-03,13.13,13.39,13.1,13.31,10.825052000000001,5404200
2009-11-04,13.41,13.78,13.24,13.3,10.816919,6964400
2009-11-05,13.43,13.87,13.43,13.86,11.272367,4279300
2009-11-06,13.74,14.46,13.63,14.03,11.410629,12662300
2009-11-09,13.98,14.12,13.62,13.92,11.321168,18973300
2009-11-10,13.79,13.96,13.7,13.81,11.231705999999999,13062600
2009-11-11,13.97,13.98,13.5,13.59,11.052778,14172600
2009-11-12,13.5,13.66,13.03,13.06,10.621727,9127400
2009-11-13,13.07,13.49,13.07,13.39,10.890115,6412400
